,location,location_population,occupation,hobbies,friends_number,sex,credit_card_type,relationship_status,education,dob,daily_commute
1182,Bytom,168394,"Metal, machinery and related trades workers","Stretching,Fitness,Singing",166,1.0,Mastercard,In relationship,5.0,64.0,43.0
1183,Starachowice,49513,Business and administration associate professionals,"Skiing,Sculpting",116,0.0,Mastercard,Married with kids,2.0,47.0,37.0
1184,Gdynia,246306,Other clerical support workers,"Squash,Gym,Brazilian jiu-jitsu,Electronics",275,1.0,Visa,Married with kids,5.0,59.0,49.55
1185,Gorzów Wielkopolski,124295,Science and engineering professionals,,285,1.0,Mastercard,In relationship,3.0,45.0,21.0
1186,Jaworzno,92090,Handicraft and printing workers,Rowing,282,0.0,Visa,Married,3.0,36.0,47.0
1187,Kalisz,101625,Business and administration professionals,,183,0.0,Mastercard,In relationship,3.0,52.0,18.0
1188,Olkusz,35921,Science and engineering professionals,"Polo,Urban exploration",119,1.0,Visa,Married with kids,1.0,61.0,49.55
1189,Warszawa,1764615,Teaching professionals,"Bodybuilding,Video gaming,Horseback riding,Woodworking",137,0.0,Visa,In relationship,6.0,23.0,43.0
1190,Bytom,168394,Personal service workers,,238,1.0,Mastercard,Married with kids,3.0,53.0,82.0
1191,Łańcut,17777,Food preparation assistants,"Bodybuilding,Handball,tabletop games,Fishing",169,1.0,Mastercard,Married with kids,2.0,47.0,11.0
1192,Zielona Góra,139819,Information and communications technology professionals,"Kettleballs,Weightlifting,Soapmaking,Drawing",227,1.0,Mastercard,Married with kids,5.0,61.0,21.0
1193,Łódź,690422,Market-oriented skilled agricultural workers,,149,0.0,Visa,Single,4.0,35.0,22.0
1194,Kraków,767348,Handicraft and printing workers,,203,1.0,Mastercard,In relationship,1.0,55.0,48.0
1195,Zabrze,174349,Health associate professionals,Flying,236,1.0,Visa,Single,4.0,24.0,73.0
1196,Warszawa,1764615,Science and engineering associate professionals,,144,1.0,Revolut,In relationship,1.0,43.0,50.70429252782194
1197,Działoszyn,5950,Assemblers,"Crocheting,Flying disc",136,1.0,Mastercard,In relationship,2.0,48.0,33.0
1198,Kamienna Góra,19348,Customer services clerks,"Squash,Kettleballs,Dowsing,Sculling,Whittling",200,1.0,Visa,In relationship,5.0,61.0,86.0
1199,Puck,11265,Business and administration associate professionals,,265,1.0,Mastercard,In relationship,1.0,45.0,72.0
1200,Kołobrzeg,46568,Handicraft and printing workers,"Power bike,Gym",272,0.0,Revolut,Married with kids,1.0,43.0,96.0
1201,Łódź,690422,Numerical and material recording clerks,"Brazilian jiu-jitsu,Sculling",281,1.0,Visa,Married with kids,4.0,61.0,79.0
1202,Łódź,690422,Assemblers,Surfing,235,1.0,Mastercard,In relationship,4.0,44.0,50.70429252782194
1203,Inowrocław,73577,Science and engineering associate professionals,,259,1.0,Mastercard,In relationship,3.0,37.0,91.0
1204,Ostrów Wielkopolski,72364,Science and engineering associate professionals,"Badminton,Kitesurfing,Digital arts",149,1.0,Mastercard,In relationship,3.0,44.0,79.0
1205,Rzeszów,189662,Market-oriented skilled agricultural workers,"Backpacking,Wood carving",319,1.0,Mastercard,In relationship,6.0,44.0,40.0
1206,Radomsko,46409,Drivers and mobile plant operators,"Yo-yoing,3D printing",457,0.0,Mastercard,Married,2.0,67.0,79.0
1207,Toruń,202562,"Legal, social, cultural and related associate professionals",Rafting,226,1.0,Visa,In relationship,6.0,45.672,73.0
1208,Tarnów,109650,Other clerical support workers,"Crossfit,Drawing",232,1.0,Revolut,In relationship,5.0,40.0,1.0
1209,Poznań,538633,Stationary plant and machine operators,"Badminton,Crossfit,Sculpting",196,0.0,Mastercard,Divorced,6.0,35.0,30.0
1210,Tczew,60257,Non-commissioned armed forces officers,"Cardio,Amateur radio,Parkour",179,0.0,Mastercard,Married with kids,4.0,28.0,57.0
1211,Łódź,690422,Assemblers,,185,1.0,Visa,Married,4.0,30.0,9.0
1212,Warszawa,1764615,Information and communications technicians,"amateur radio,Parkour,Drawing",268,0.0,Visa,Married with kids,3.0,51.0,52.352112676056336
1213,Gryfice,16600,Protective services workers,"Gym,Power bike,Vehicle restoration",174,0.0,Visa,Married,5.0,45.0,89.0
1214,Swarzędz,30739,"Food processing, wood working, garment and other craft and related trades workers",,104,1.0,Visa,Married with kids,6.0,51.0,18.0
1215,Złotów,18441,"Metal, machinery and related trades workers","Ice skating,Shooting",168,1.0,Mastercard,Single,4.0,35.0,49.454054054054055
1216,Sopot,36533,Information and communications technology professionals,"Roller skating,Skydiving,Knitting",274,0.0,Mastercard,Single,4.0,25.0,49.32786885245902
1217,Rumia,48632,General and keyboard clerks,"Crossfit,Writing",176,0.0,Visa,Married,5.0,26.0,50.838862559241704
1218,Chorzów,109021,Teaching professionals,"Jigsaw puzzles,Photography,Knapping",253,1.0,Visa,Married,2.0,38.0,3.0
1219,Warszawa,1764615,Administrative and commercial managers,"Rowing,Cardio,Squash",196,1.0,Visa,Married,5.0,45.29807692307692,80.0
1220,Lublin,339850,Customer services clerks,,6,0.0,Visa,In relationship,3.0,31.0,32.0
1221,Orzysz,5615,Cleaners and helpers,"Scuba diving,Painting",312,1.0,Mastercard,In relationship,3.0,58.0,12.0
1222,Kraśnik,34821,Health professionals,"Rowing,Flower arranging,Playing musical instruments",262,1.0,Visa,In relationship,4.0,41.0,25.0
1223,Szprotawa,11944,Production and specialised services managers,Gym,205,1.0,Visa,In relationship,4.0,74.0,15.0
1224,Kosów Lacki,2120,Health professionals,"Stretching,Cardio,Sewing",278,1.0,Visa,Divorced,4.0,45.0,85.0
1225,Wałbrzych,113621,Non-commissioned armed forces officers,"Lapidary,Nordic skating",37,0.0,Visa,In relationship,3.0,43.69859813084112,64.0
1226,Zabrze,174349,Handicraft and printing workers,"Gym,Dowsing",296,1.0,Visa,Single,5.0,47.0,49.454054054054055
1227,Gdynia,246306,Administrative and commercial managers,"Rappelling,Leather crafting,Yoga",140,1.0,Mastercard,Married with kids,2.0,62.0,49.55
1228,Zawiercie,49908,Science and engineering professionals,"Power bike,Yoga",181,1.0,Visa,In relationship,4.0,48.0,43.0
1229,Gniezno,68943,Other clerical support workers,"Cardio,Leather crafting",87,1.0,Mastercard,Married,3.0,50.0,27.0
1230,Koronowo,11230,Sales workers,"Bodybuilding,Squash,Power bike",153,0.0,Visa,Single,4.0,41.0,49.32786885245902
1231,Gostynin,18720,Protective services workers,,302,1.0,Mastercard,In relationship,4.0,25.0,50.0
1232,Szczecin,403883,"Agricultural, forestry and fishery labourers",Gym,139,1.0,Visa,Married,4.0,32.0,48.475083056478404
1233,Ruda Śląska,138578,Information and communications technicians,"Scouting,Do it yourself",314,1.0,American Express,In relationship,1.0,48.0,24.0
1234,Warszawa,1764615,Business and administration associate professionals,"Rowing,Gym,Running",262,1.0,Mastercard,Married with kids,4.0,58.0,54.0
1235,Ryn,2865,Street and related sales and service workers,"Rowing,Amateur radio,Sudoku",204,1.0,Mastercard,In relationship,3.0,47.0,44.0
1236,Kraków,767348,Electrical and electronic trades workers,,103,1.0,Mastercard,Married with kids,3.0,41.0,90.0
1237,Bydgoszcz,352313,"Hospitality, retail and other services managers","Stone skipping,Flower arranging,Wood carving",392,1.0,Visa,Married,3.0,79.0,29.0
1238,Gdynia,246306,Numerical and material recording clerks,"Weightlifting,Coloring,Listening to music",153,0.0,Visa,Single,4.0,30.0,80.0
1239,Lublin,339850,Information and communications technicians,"Pottery,Jigsaw puzzles",266,0.0,Mastercard,Married with kids,4.0,45.0,64.0
1240,Jabłonowo Pomorskie,3782,Business and administration associate professionals,"Orienteering,Paintball,Painting",224,1.0,Visa,Married,4.0,49.0,14.0
1241,Ruda Śląska,138578,"Labourers in mining, construction, manufacturing and transport",Rafting,357,1.0,Visa,In relationship,4.0,36.0,59.0
1242,Kraków,767348,Science and engineering associate professionals,"Rowing,Power bike,Weightlifting,Foreign language learning",129,1.0,Mastercard,In relationship,4.0,48.0,81.0
1243,Gniezno,68943,Street and related sales and service workers,"Whittling,Digital arts",132,0.0,Visa,In relationship,5.0,50.0,49.67351598173516
1244,Kraków,767348,Market-oriented skilled agricultural workers,"Fashion,Urban exploration",161,0.0,Visa,Divorced,3.0,36.0,94.0
1245,Żagań,26148,"Hospitality, retail and other services managers",,188,0.0,Visa,Single,5.0,56.0,7.0
1246,Bolesławiec,39084,"Legal, social, cultural and related associate professionals","Singing,Acting,Fishing",316,0.0,Visa,In relationship,3.0,56.0,65.0
1247,Sosnowiec,204013,"Building and related trades workers, excluding electricians",Crossfit,165,0.0,Visa,Married with kids,3.0,60.0,97.0
1248,Bielsk Podlaski,25611,"Market-oriented skilled forestry, fishery and hunting workers","Rock climbing,Video gaming,Drawing",224,0.0,Mastercard,Single,1.0,34.0,52.0
1249,Bełchatów,57964,Teaching professionals,"Kettleballs,Table tennis,Foraging,Motor sports",162,1.0,Visa,In relationship,4.0,53.0,58.0
1250,Olkusz,35921,Production and specialised services managers,,431,0.0,Mastercard,Married,4.0,28.0,24.0
1251,Czechowice-Dziedzice,35795,Protective services workers,"Cardio,Crossfit,Jogging,Web surfing,Metal detecting",174,0.0,Mastercard,In relationship,5.0,48.0,49.67351598173516
1252,Katowice,296262,Other clerical support workers,"Stone skipping,scrapbook,Letterboxing",302,0.0,Mastercard,In relationship,5.0,37.0,13.0
1253,Bydgoszcz,352313,Numerical and material recording clerks,"Fitness,Urban exploration",40,0.0,Revolut,Divorced,3.0,58.0,40.0
1254,Namysłów,16360,Drivers and mobile plant operators,"Cardio,Sewing,Nordic skating,Motor sports",141,0.0,Mastercard,Married with kids,3.0,33.0,46.0
1255,Gdynia,246306,"Legal, social, cultural and related associate professionals","Handball,Homebrewing",120,1.0,Visa,In relationship,4.0,35.0,88.0
1256,Warszawa,1764615,Assemblers,"Cardio,Taxidermy,Glassblowing",244,1.0,Mastercard,In relationship,1.0,26.0,22.0
1257,Zabrze,174349,Information and communications technicians,Beekeeping,109,1.0,Visa,In relationship,1.0,32.0,57.0
1258,Piaseczno,47660,Market-oriented skilled agricultural workers,"Squash,Reading",6,0.0,Visa,In relationship,2.0,32.0,61.0
1259,Jastrzębie-Zdrój,89590,"Chief executives, senior officials and legislators","Cardio,Gunsmithing,LARPing",117,1.0,Visa,In relationship,3.0,51.0,50.70429252782194
1260,Bydgoszcz,352313,Information and communications technicians,"Fitness,Badminton,Stand-up comedy,Skateboarding,Glassblowing",247,1.0,Mastercard,In relationship,5.0,26.0,96.0
1261,Krośniewice,4426,"Metal, machinery and related trades workers",Glassblowing,173,0.0,Visa,In relationship,6.0,63.0,95.0
1262,Warszawa,1764615,Other clerical support workers,"Crossfit,Weightlifting",204,0.0,Mastercard,Single,6.0,23.0,25.0
1263,Tczew,60257,General and keyboard clerks,"Mushroom hunting,Candle making,Web surfing",349,0.0,Visa,Married with kids,3.0,23.0,88.0
1264,Stalowa Wola,61903,Personal service workers,Gaming,169,1.0,Mastercard,In relationship,3.0,32.0,73.0
1265,Bytom,168394,Drivers and mobile plant operators,"Badminton,Crossfit,Basketball,Running,Geocaching",203,1.0,Mastercard,In relationship,5.0,37.0,33.0
1266,Bolesławiec,39084,"Hospitality, retail and other services managers","Weightlifting,Gym,Stand-up comedy",0,1.0,Visa,In relationship,2.0,56.0,72.0
1267,Jelenia Góra,80072,Business and administration professionals,"Weightlifting,Kettleballs,Nordic skating,Digital arts",115,1.0,Visa,Married,2.0,29.0,56.0
1268,Annopol,2572,Market-oriented skilled agricultural workers,,354,1.0,Mastercard,Married with kids,5.0,73.0,69.0
1269,Zabrze,174349,Personal care workers,"Stretching,Squash,Photography,Skateboarding",249,1.0,Mastercard,In relationship,5.0,45.672,48.0
1270,Legnica,100324,Food preparation assistants,"Slacklining,Electronics",104,0.0,Visa,Single,6.0,31.0,49.32786885245902
1271,Sosnowiec,204013,Protective services workers,"Cardio,Weightlifting,Hunting",146,1.0,Visa,In relationship,5.0,75.0,78.0
1272,Warszawa,1764615,"Metal, machinery and related trades workers","Model building,Wood carving,Electronics",86,1.0,Visa,Married with kids,6.0,50.0,78.0
1273,Łódź,690422,Drivers and mobile plant operators,Sand art,300,1.0,Visa,Married,2.0,23.0,86.0
1274,Dąbrowa Górnicza,121121,Business and administration professionals,"Inline skating,Lego building,Sailing",86,1.0,Visa,In relationship,4.0,33.0,67.0
1275,Wojkowice,8984,Health associate professionals,Sculling,299,1.0,Mastercard,Married,5.0,57.0,46.0
1276,Gdańsk,464254,Science and engineering professionals,Rafting,212,0.0,Visa,In relationship,4.0,63.0,40.0
1277,Warszawa,1764615,Handicraft and printing workers,"Power bike,Glassblowing,Scouting",198,0.0,Visa,Married with kids,2.0,39.0,40.0
1278,Łódź,690422,Street and related sales and service workers,,203,1.0,Mastercard,Single,4.0,64.0,59.0
1279,Białogard,24368,Information and communications technicians,Astronomy,55,0.0,Visa,Married with kids,5.0,47.0,4.0
1280,Warszawa,1764615,"Legal, social, cultural and related associate professionals","Power bike,Shooting",230,0.0,Visa,Married,4.0,49.0,49.0
1281,Kalisz,101625,Drivers and mobile plant operators,"Kettleballs,Digital arts,Snowboarding",218,0.0,Mastercard,Single,4.0,43.0,53.0
1282,Poznań,538633,Cleaners and helpers,"Fitness,Urban exploration,Crocheting,Kabaddi",143,1.0,Visa,In relationship,2.0,26.0,24.0
1283,Zielona Góra,139819,Personal care workers,,184,0.0,Visa,In relationship,5.0,23.0,96.0
1284,Toruń,202562,"Market-oriented skilled forestry, fishery and hunting workers","Stretching,Kitesurfing,Skimboarding,Do it yourself",192,1.0,Visa,Married with kids,1.0,30.0,49.55
1285,Wronki,11293,Information and communications technicians,Blacksmithing,266,0.0,Mastercard,In relationship,4.0,62.0,62.0
1286,Turek,27311,Assemblers,"Bodybuilding,Watching movies",256,1.0,Mastercard,In relationship,5.0,49.0,33.0
1287,Bukowno,10297,Drivers and mobile plant operators,"Gym,Rock climbing",226,1.0,Visa,Married with kids,6.0,46.14666666666667,37.0
1288,Chrzanów,37123,Street and related sales and service workers,"Badminton,Cooking,Singing,Horseback riding",127,0.0,Mastercard,Married,1.0,39.0,14.0
1289,Kielce,196804,Commissioned armed forces officers,"Driving,Embroidery,Web surfing",184,1.0,Mastercard,Married,5.0,44.0,6.0
1290,Rzeszów,189662,Food preparation assistants,"Letterboxing,Candle making",180,1.0,Mastercard,Married with kids,4.0,50.0,21.0
1291,Chrzanów,37123,Sales workers,"Cardio,Gym,Do it yourself",236,0.0,Visa,Married,2.0,42.0,31.0
1292,Kraśnik,34821,Business and administration associate professionals,Weightlifting,69,0.0,Visa,Single,3.0,79.0,14.0
1293,Rybnik,139129,"Legal, social and cultural professionals","Bodybuilding,tabletop games,Metalworking,role-playing games",265,1.0,Visa,Married with kids,4.0,49.0,62.0
1294,Krosno,46600,Teaching professionals,,275,1.0,Mastercard,Married,3.0,49.0,4.0
1295,Malbork,38723,Production and specialised services managers,"Squash,Letterboxing",145,1.0,Visa,In relationship,3.0,26.0,40.0
1296,Warszawa,1764615,Electrical and electronic trades workers,"Kayaking,Stand-up comedy",232,1.0,Visa,Married with kids,5.0,46.14666666666667,63.0
1297,Bydgoszcz,352313,"Legal, social and cultural professionals",Scouting,219,1.0,Mastercard,In relationship,4.0,45.672,98.0
1298,Ostróda,33243,Commissioned armed forces officers,Astronomy,52,0.0,Mastercard,In relationship,2.0,43.69859813084112,41.0
1299,Warszawa,1764615,"Food processing, wood working, garment and other craft and related trades workers",,290,1.0,Visa,In relationship,4.0,49.0,18.0
1300,Gdańsk,464254,"Building and related trades workers, excluding electricians",Cardio,309,1.0,Visa,Married,5.0,62.0,81.0
1301,Pińczów,10946,Sales workers,"Gym,Rugby,Yo-yoing",121,0.0,Visa,In relationship,1.0,26.0,8.0
1302,Olsztyn,173070,Electrical and electronic trades workers,"Coffee roasting,Genealogy",219,0.0,Visa,Divorced,5.0,56.0,52.0
1303,Elbląg,120895,Information and communications technicians,Skiing,100,0.0,Mastercard,In relationship,1.0,49.0,54.0
1304,Kościerzyna,23809,Stationary plant and machine operators,"Geocaching,Driving",192,1.0,Mastercard,Divorced,1.0,46.0,47.0
1305,Baranów Sandomierski,1477,"Labourers in mining, construction, manufacturing and transport",,0,1.0,Visa,Married with kids,4.0,43.0,92.0
1306,Żyrardów,40243,Sales workers,"Slacklining,Playing musical instruments,Shopping",136,1.0,Mastercard,In relationship,5.0,38.0,53.0
1307,Wejherowo,49927,Information and communications technology professionals,,347,0.0,Mastercard,Married,4.0,38.0,50.838862559241704
1308,Warszawa,1764615,Production and specialised services managers,Stretching,181,1.0,Visa,Divorced,1.0,34.0,29.0
1309,Rzeszów,189662,Drivers and mobile plant operators,,196,0.0,Visa,In relationship,4.0,24.0,49.67351598173516
1310,Wojkowice,8984,Market-oriented skilled agricultural workers,,269,1.0,Mastercard,Married with kids,5.0,38.0,77.0
1311,Lublin,339850,Teaching professionals,"Poi,Air sports",343,1.0,Visa,In relationship,4.0,37.0,2.0
1312,Drawsko Pomorskie,11672,Information and communications technicians,Crossfit,224,1.0,Visa,Married with kids,4.0,45.0,49.55
1313,Kraków,767348,Information and communications technicians,"Urban exploration,Playing musical instruments,Lacemaking",149,1.0,Mastercard,Married,4.0,39.0,12.0
1314,Nowogard,16756,Customer services clerks,"Genealogy,Poi,Inline skating",206,0.0,Mastercard,In relationship,4.0,36.0,57.0
1315,Solec Kujawski,15661,Numerical and material recording clerks,Cosplaying,163,1.0,Revolut,In relationship,3.0,45.0,24.0
1316,Inowrocław,73577,Administrative and commercial managers,"Weightlifting,Sewing,Embroidery",265,1.0,Visa,In relationship,4.0,54.0,73.0
1317,Warszawa,1764615,Stationary plant and machine operators,"Squash,Crossfit,Digital arts,Sports",186,0.0,Visa,Single,3.0,23.0,33.0
1318,Warszawa,1764615,Information and communications technology professionals,"Badminton,Bodybuilding,Crossfit,Painting,Sudoku,Community",159,0.0,Mastercard,Single,2.0,54.0,17.0
1319,Warszawa,1764615,Teaching professionals,"Rowing,Badminton,Reading,Astronomy",306,0.0,Visa,In relationship,4.0,43.69859813084112,23.0
1320,Duszniki-Zdrój,4728,Administrative and commercial managers,,277,0.0,Visa,In relationship,1.0,31.0,64.0
1321,Toruń,202562,"Legal, social, cultural and related associate professionals","Foreign language learning,Coffee roasting,Mountaineering",0,1.0,Mastercard,Married with kids,3.0,35.0,89.0
1322,Oława,32883,Commissioned armed forces officers,Jogging,93,0.0,Visa,In relationship,3.0,35.0,57.0
1323,Warszawa,1764615,Other clerical support workers,"Fitness,Creative writing,LARPing,Ghost hunting",213,0.0,Visa,In relationship,4.0,33.0,87.0
1324,Turek,27311,Science and engineering associate professionals,tabletop games,337,0.0,Mastercard,Single,3.0,40.63265306122449,33.0
1325,Kętrzyn,27478,Drivers and mobile plant operators,"Model building,Scuba diving",350,0.0,Revolut,Married,5.0,41.0,23.0
1326,Czerwionka-Leszczyny,28329,Production and specialised services managers,"Badminton,Power bike,Yoga",298,0.0,Visa,In relationship,3.0,48.0,83.0
1327,Mikołów,40423,"Subsistence farmers, fishers, hunters and gatherers","Kettleballs,Jogging",178,0.0,American Express,Single,2.0,48.0,11.0
1328,Mieszkowice,3681,Science and engineering professionals,Sewing,97,1.0,Visa,Married,3.0,43.0,72.0
1329,Pruszków,61237,Health associate professionals,"Brazilian jiu-jitsu,Magic",80,1.0,Visa,Married,3.0,52.0,55.0
1330,Daleszyce,2914,Administrative and commercial managers,,353,0.0,Visa,Married,3.0,43.566502463054185,91.0
1331,Rzeszów,189662,General and keyboard clerks,"Water sports,Juggling",211,1.0,Visa,In relationship,5.0,45.672,50.0
1332,Wrocław,638586,"Building and related trades workers, excluding electricians",Fitness,249,0.0,Mastercard,Married with kids,5.0,28.0,52.352112676056336
1333,Warszawa,1764615,Personal service workers,"Writing,Mountaineering,Origami",148,1.0,Mastercard,In relationship,4.0,41.0,50.70429252782194
1334,Suwałki,69554,Sales workers,"Weightlifting,Jogging",378,0.0,Mastercard,Single,6.0,37.0,20.0
1335,Mysłowice,74647,Information and communications technology professionals,,292,1.0,Mastercard,Married,6.0,49.0,61.0
1336,Bydgoszcz,352313,"Hospitality, retail and other services managers","Power bike,Writing",308,0.0,Revolut,Married,5.0,41.0,3.0
1337,Toruń,202562,Numerical and material recording clerks,"Badminton,scrapbook",238,0.0,Mastercard,Married,2.0,53.0,73.0
1338,Błonie,12354,Drivers and mobile plant operators,"Bodybuilding,Machining,scrapbook,Digital arts",76,1.0,Mastercard,Married,4.0,35.0,48.475083056478404
1339,Kielce,196804,General and keyboard clerks,"Bodybuilding,Stretching,Cardio,Sculpting",159,1.0,Mastercard,Single,4.0,29.0,60.0
1340,Warszawa,1764615,"Market-oriented skilled forestry, fishery and hunting workers","Cardio,Juggling",181,0.0,Visa,Divorced,4.0,48.0,29.0
1341,Szczecin,403883,"Legal, social and cultural professionals",Mycology,170,1.0,Visa,In relationship,4.0,27.0,66.0
1342,Swarzędz,30739,Assemblers,,260,1.0,Mastercard,Single,2.0,42.77777777777778,12.0
1343,Toruń,202562,Food preparation assistants,Power bike,331,0.0,Visa,Married with kids,3.0,31.0,49.0
1344,Warszawa,1764615,Stationary plant and machine operators,"Crossfit,Gambling",159,1.0,Visa,In relationship,4.0,49.0,83.0
1345,Warszawa,1764615,"Market-oriented skilled forestry, fishery and hunting workers","Fitness,Crossfit,Air sports",102,1.0,Visa,Married,5.0,26.0,7.0
1346,Piaseczno,47660,Teaching professionals,"Power bike,3D printing,Lockpicking,Archery",201,1.0,Visa,Married with kids,3.0,46.14666666666667,29.0
1347,Warszawa,1764615,Cleaners and helpers,"Crossfit,Electronics,Ice skating",123,0.0,Visa,Married with kids,4.0,45.26573426573427,70.0
1348,Ostróda,33243,Administrative and commercial managers,"Fitness,Bodybuilding,Yoga,Sand art",234,1.0,Mastercard,Single,2.0,47.0,43.0
1349,Kołobrzeg,46568,Information and communications technology professionals,"Foreign language learning,tabletop games,Model building",162,1.0,Visa,In relationship,4.0,28.0,48.0
1350,Sosnowiec,204013,Other clerical support workers,"Lapidary,Juggling,Foreign language learning",178,1.0,Revolut,In relationship,5.0,61.0,39.0
1351,Inowrocław,73577,Administrative and commercial managers,"Bodybuilding,Cosplaying",177,1.0,Visa,Married,2.0,40.0,2.0
1352,Siewierz,5520,Numerical and material recording clerks,"Rowing,Badminton,Homebrewing",336,1.0,Mastercard,Married,4.0,39.0,48.475083056478404
1353,Kielce,196804,Electrical and electronic trades workers,,303,0.0,Visa,In relationship,4.0,42.0,86.0
1354,Dąbrowa Tarnowska,11924,Information and communications technology professionals,"Rowing,Yo-yoing,Writing",259,1.0,Visa,Married,6.0,23.0,86.0
1355,Łask,17484,Information and communications technicians,"Bird watching,Dance",246,1.0,Visa,Divorced,6.0,24.0,19.0
1356,Szczecin,403883,Health associate professionals,"Bodybuilding,Table tennis,Rugby,Mushroom hunting",144,0.0,Visa,Married,5.0,56.0,7.0
1357,Otwock,44873,Administrative and commercial managers,,254,1.0,Mastercard,In relationship,4.0,45.672,40.0
1358,Mielec,60628,"Agricultural, forestry and fishery labourers","Polo,Vehicle restoration",201,1.0,Visa,In relationship,4.0,31.0,14.0
1359,Kłodzko,27193,Commissioned armed forces officers,"Rowing,Scouting",434,0.0,Visa,Married with kids,4.0,62.0,68.0
1360,Gdańsk,464254,Commissioned armed forces officers,,107,1.0,Visa,In relationship,4.0,23.0,63.0
1361,Koło,22227,Electrical and electronic trades workers,,236,0.0,Visa,Married with kids,5.0,42.0,52.352112676056336
1362,Zabrze,174349,Market-oriented skilled agricultural workers,"Power bike,Board sports,Worldbuilding,Acting",89,1.0,Revolut,In relationship,4.0,36.0,50.70429252782194
1363,Wrocław,638586,Other clerical support workers,"Yoga,Book restoration",465,1.0,Mastercard,In relationship,5.0,62.0,66.0
1364,Skawina,24325,Customer services clerks,Worldbuilding,159,1.0,Mastercard,In relationship,3.0,35.0,44.0
1365,Warszawa,1764615,Street and related sales and service workers,"Fitness,Crossfit,Amateur radio",215,1.0,Visa,Single,2.0,23.0,25.0
1366,Kraków,767348,Business and administration associate professionals,,173,0.0,Mastercard,In relationship,4.0,43.69859813084112,72.0
1367,Myślenice,18415,Health associate professionals,"Rowing,Bird watching,Sculpting",148,1.0,Mastercard,Married with kids,6.0,46.14666666666667,3.0
1368,Tuchola,13793,"Legal, social and cultural professionals","Stone skipping,Whittling",277,0.0,Mastercard,In relationship,4.0,48.0,55.0
1369,Ruda Śląska,138578,Handicraft and printing workers,"Gym,Squash,Board sports,Shooting,Paintball",420,1.0,Mastercard,Married,4.0,64.0,58.0
1370,Wołomin,37164,Administrative and commercial managers,"Stretching,Yo-yoing,Yoga",305,0.0,Visa,Married with kids,5.0,45.26573426573427,52.352112676056336
1371,Nowy Sącz,84041,Customer services clerks,"Kettleballs,Singing,Book restoration,Roller skating",183,0.0,Visa,Single,2.0,36.0,51.0
1372,Opole,128140,Health associate professionals,"Scuba diving,Orienteering",326,1.0,Mastercard,In relationship,1.0,56.0,48.0
1373,Reda,25102,Information and communications technology professionals,"Hooping,LARPing",195,0.0,Visa,Married with kids,4.0,29.0,13.0
1374,Białogard,24368,Drivers and mobile plant operators,"Fitness,Backpacking,Lockpicking",93,0.0,Visa,Married,5.0,64.0,3.0
1375,Siemianowice Śląskie,67523,Stationary plant and machine operators,"Fitness,Cardio,Wood carving,Astronomy,Computer programming",303,0.0,Mastercard,In relationship,3.0,67.0,12.0
1376,Świdwin,15725,Business and administration professionals,Orienteering,115,0.0,Visa,Married,4.0,52.0,60.0
1377,Puck,11265,Personal service workers,"Stretching,Weightlifting,BASE jumping,Gaming,Skydiving",290,1.0,Visa,In relationship,5.0,62.0,21.0
1378,Sosnowiec,204013,Information and communications technicians,,124,0.0,Mastercard,Married,3.0,55.0,50.838862559241704
1379,Radom,214566,Production and specialised services managers,,285,1.0,Visa,In relationship,2.0,35.0,2.0
1380,Gorzów Wielkopolski,124295,Non-commissioned armed forces officers,"Fitness,Beekeeping,Motor sports,Polo",218,0.0,Mastercard,Married,4.0,43.0,23.0
1381,Józefów,20488,Market-oriented skilled agricultural workers,Lacemaking,167,1.0,Revolut,Married,1.0,48.0,1.0
1382,Ełk,61523,Assemblers,"Fitness,Pet,tabletop games",218,1.0,Visa,Married with kids,4.0,55.0,86.0
1383,Brwinów,13533,Commissioned armed forces officers,Roller skating,102,1.0,Visa,Married with kids,2.0,49.0,18.0
1384,Kutno,44513,Drivers and mobile plant operators,Netball,156,1.0,Visa,Single,4.0,55.0,44.0
1385,Wolsztyn,13328,"Subsistence farmers, fishers, hunters and gatherers","Rappelling,Cooking",64,1.0,Mastercard,In relationship,3.0,45.0,42.0
1386,Tychy,128211,Protective services workers,"Rowing,Orienteering,Playing musical instruments",328,0.0,Visa,Married with kids,1.0,30.0,29.0
1387,Sobótka,6951,Administrative and commercial managers,"Community,Mountain biking",370,0.0,Visa,Divorced,2.0,44.59375,2.0
1388,Krosno,46600,Food preparation assistants,,244,1.0,Mastercard,Married with kids,3.0,56.0,61.0
1389,Barczewo,7472,"Hospitality, retail and other services managers","Rowing,Drama",12,0.0,Visa,In relationship,5.0,54.0,21.0
1390,Łowicz,28704,Customer services clerks,,240,1.0,Mastercard,Married with kids,3.0,46.0,73.0
1391,Pabianice,65823,Assemblers,"Bodybuilding,Orienteering,Skydiving",334,1.0,Visa,Married with kids,2.0,70.0,99.0
1392,Leszno,64197,Teaching professionals,"Shooting,Sports,Painting",331,1.0,Visa,Single,2.0,54.0,49.454054054054055
1393,Rzeszów,189662,"Metal, machinery and related trades workers",,175,1.0,Visa,Married,4.0,71.0,74.0
1394,Warszawa,1764615,"Metal, machinery and related trades workers",,0,0.0,Visa,In relationship,2.0,57.0,1.0
1395,Białystok,297288,Numerical and material recording clerks,,150,0.0,Visa,In relationship,5.0,50.0,83.0
